,url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
2572,https://www.zomato.com/bangalore/paratha-junction-jayanagar?context=eyJzZSI6eyJlIjpbIjE4MTQ4OTQxIiwiNTE3MzMiLCIxODcxOTUxNCIsIjE4NDg5MTE1IiwxODU5NDIwMiwiNTY0ODciLCI1MDAzMSIsIjE4Mjc1MDIxIiwiMTg1MjE5MTIiLCI1MTE2NCIsIjU3MjI1IiwiNTU5OTQiLCIxODY0MzUzNCIsIjE4NzIzMzg2IiwiNTQzNTIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhc2F2YW5hZ3VkaSJ9fQ==,"35/24, PTG Complex, 11th Main Road, 46th Cross, 5th Block, Opposite Raghavendra Matha Temple, Jayanagar, Bangalore",Paratha Junction,Yes,No,3.2/5,395,+91 7022586895,Jayanagar,Quick Bites,Paratha,"North Indian, Chinese",300,[],Delivery,Basavanagudi
32591,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block?context=eyJzZSI6eyJlIjpbIjE4NTEyNDQxIiwiMTg4MjE1MzIiLCIxODU1OTQ2MyIsIjE4ODY2NjExIiw1MDk0MywiMTg4MjE3ODkiLCIxODIzMjY1OCIsIjUyNDg4IiwiNTgzNDUiLCIxODAxMTY2NCIsIjE4ODg0MTUyIiwiMTg4MTkxODkiLCIxODg1MjcyNSIsIjE4ODc0MzAzIiwiMTgzNjI0NDMiLCIxODU2OTA3MSIsIjE4NjY0ODE0IiwiMTg3NzI5NTAiLCIxODM4MjkzNCIsIjE4MjgwNzE3IiwiMTg4NTk2NTIiLCIxODYzMjQxMiIsIjE4NjY3NjQ1Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBLb3JhbWFuZ2FsYSA2dGggQmxvY2sifX0=,"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Sultans of Spice,Yes,Yes,4.5 /5,3469,080 49652770,Koramangala 5th Block,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh","North Indian, Mughlai, Salad","1,300",[],Delivery,Koramangala 6th Block
50142,https://www.zomato.com/bangalore/burger-king-whitefield?context=eyJzZSI6eyJlIjpbIjE4ODAwNTE2IiwiMTg5MDEwNjUiLCIxODU4NDU2MiIsIjE4NTM2NzI1Iiw2MTU1NSwiMTg3MzQ3MTUiLCIxODg0ODgxMSIsIjE4Nzk3NTM5IiwiMTg4NDg4MTUiLCI1ODcyNSIsIjE4OTAwODY3IiwiMTg4MDA1ODEiLCIxODM3MzMyMSIsIjE4ODAwNDUxIiwiNTcwOTIiLCIxODY3MTYwMyIsIjE4Nzk4NDU2IiwiMTg4NDgyOTEiLCIxODY5MTY4MCIsIjE4NTUyMTM4IiwiMTg3NjUzODIiLCIxODcxNDQzNSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gV2hpdGVmaWVsZCJ9fQ==,"Level 2, Phoenix Market City Mall, Whitefield, Bangalore",Burger King,Yes,No,4.0 /5,1972,+91 7977043789,Whitefield,Quick Bites,"Burgers, Tandoor Chicken Burger, Mutton Whopper, Mutton Burger, Cheesy Fries, Chicken Whopper, Chicken Crisp Burger","Burger, Fast Food, Beverages",600,[],Delivery,Whitefield
8524,https://www.zomato.com/bangalore/phew-play-hard-eat-wild-btm?context=eyJzZSI6eyJlIjpbIjE4Mzg3NjYxIiwiMTg3ODkzNTQiLCIxODczMzkxMCIsIjU1MjAzIiwxODM0Mjg3NywiMTg1NjM4NzUiLCIxODc3NzkyMSIsIjE4Nzc2ODQ5IiwiMTg2NTIwNDYiLCIxODg0NDM4MyIsIjU0NjAzIiwiNTg2MDAiLCIxODUyMjk2NyIsIjE4NjQ5NDM0IiwiMTg4ODkzMDEiLCI1NzMzMCIsIjE4NTU1MTU4IiwiMTg2NDk1NTgiLCIxODUwMzc1NSIsIjE4Njg1NDU1IiwiMTg4MzY2MTAiLCI2MDU4MyIsIjE4NTcyOTczIiwiMTgyMDI5OTQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"240, 7th cross, 1st Main, Mico Layout, Opposite Sate Bank of India, 2nd Stage, BTM Bangalore",PHEW (Play Hard Eat Wild),Yes,Yes,3.9/5,487,+91 9365075799,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,[],Delivery,BTM
6260,https://www.zomato.com/bangalore/liquid-lounge-hyatt-centric-mg-road-ulsoor-bangalore?context=eyJzZSI6eyJlIjpbIjYxMzk2IiwiNTU3OTUiLCI1MzY3OCIsIjUwMTEyIiw1MTEwMiwiNTExNjQiLCI1MTYyNiIsIjE4NjMxMDcwIiwiNTA5MjAiLCI1MzIxOCIsIjUzNzUyIiwiMTg2NjE3MTIiLCIxODY1MTgzMSIsIjE4NTQ5Mjc4IiwiMTgyNDY1MjQiLCIxODQzMjk3MCIsIjYxNTgzIiwiMTg5MDIwMDMiLCI1Mzk2NyIsIjE4NTE4NTU2IiwiNTQ0OTgiLCI1MjM5NSIsIjUyMzE3IiwiNTM0NzUiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJyaWdhZGUgUm9hZCJ9fQ==,"Hyatt Centric MG Road Bangalore, 1/1, Swami Vivekananda Road, Beside MG Road, Ulsoor, Bangalore",Liquid Lounge - Hyatt Centric MG Road,No,Yes,4.0/5,98,"080 40187200
+91 7767042422",Ulsoor,Lounge,Cocktails,"Finger Food, Continental, Chinese","2,400",[],Dine-out,Brigade Road
2569,https://www.zomato.com/bangalore/kabab-magic-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4NzI3OTQxIiwiMTg4MjA0MjYiLCIxODgyMTc2NSIsIjE4MTQ4OTQxIiw1MTczMywiMTg3MTk1MTQiLCIxODQ4OTExNSIsIjE4NTk0MjAyIiwiNTY0ODciLCI1MDAzMSIsIjE4Mjc1MDIxIiwiMTg1MjE5MTIiLCI1MTE2NCIsIjU3MjI1IiwiNTU5OTQiLCIxODY0MzUzNCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFzYXZhbmFndWRpIn19,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,Yes,No,4.1/5,1720,080 26570381,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,[],Delivery,Basavanagudi
13515,https://www.zomato.com/bangalore/ny-pizza-waffles-electronic-city-bangalore?context=eyJzZSI6eyJlIjpbIjE4OTAxMjI4IiwiMTg0MjI5MjAiLCIxODkwMTE0MSIsIjE4Mzk4NDEyIiwxODYzMDYzOCwiMTg1NTE3MTEiLCI2MDczOCIsIjE4Nzk0OTEwIiwiMTg5MDEyMjQiLCIxODkwMTA4MyIsIjE4OTAxMTQzIiwiMTg5MDExNDciLCIxODkxODE3OCIsIjE4NjY5OTAyIiwiMTg4MTM5NTAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEVsZWN0cm9uaWMgQ2l0eSJ9fQ==,"34/2A, Govindhaschetty Palya Main Road, Kamadhenu Layout, Phase 2, Electronic City, Bangalore",NY Pizza & Waffles,Yes,No,3.1/5,273,+91 8105719444,Electronic City,Quick Bites,"Pizza, Waffles","Pizza, Desserts",400,[],Delivery,Electronic City
13911,https://www.zomato.com/bangalore/madiha-biryani-house-electronic-city-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTU1MzQ0IiwiMTgzOTA5OTYiLCIxODQwNzkwNSIsIjYwMDgxIiwxODc5MzEzMCwiMTg4OTU5NjgiLCIxODk0MTM2OCIsIjE4NjQyOTM4IiwiNTg5MTMiLCIxODkyODAzMCIsIjE4OTQ3NTY3IiwiMTgxNjAwOTYiLCIxODc3Nzg4OCIsIjE4Nzg0MzMyIiwiMTgyMDgzNjAiLCIxODcxMzkxNSIsIjU4ODA3IiwiMTgzNzEyMzkiLCIxODM3MTIzNyIsIjE4NzU5MDI5IiwiMTgxNDg5NTkiLCIxODY4NzA1MCIsIjE4NzAzODE5Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBFbGVjdHJvbmljIENpdHkifX0=,"Shop 1, Opposite DPHP, Doddathogur, Electronic City, Bangalore",Madiha Biryani House,No,No,3.4/5,13,"+91 9391668083
+91 9342761581",Electronic City,,,"Biryani, North Indian, Beverages",450,[],Delivery,Electronic City
15229,https://www.zomato.com/bangalore/rolls-on-wheels-cunningham-road?context=eyJzZSI6eyJlIjpbIjE4NjYxMzIzIiwiMTgzNDQ1OTkiLCI1MDU5NSIsIjE4NTQwMTkyIiw1ODgyMywiMTg2Mjg4NzMiLCIxODkyNTI5MyIsIjE4NzA1NTM2IiwiMTg5MTk3NzkiLCIxODkzNTM4OSIsIjU4MDE5IiwiMTg3MTI4MzAiLCI1ODI4NiIsIjYwMDY0IiwiNTkzMjEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEZyYXplciBUb3duIn19,"33/1, Ground Floor, Imperial Court, Cunningham Road, Bangalore",Rolls On Wheels,No,No,3.7/5,61,"+91 9071734114
+91 9071496800",Cunningham Road,Quick Bites,"Rolls, Momos, Paneer Roll, Veggie Roll","Fast Food, Rolls, Momos",200,[],Delivery,Frazer Town
45890,https://www.zomato.com/bangalore/tata-cha-indiranagar-bangalore?context=eyJzZSI6eyJlIjpbIjU4MjM5IiwiMTgzNDYzNjAiLCI1MTM5MCIsIjU4NTQ0IiwxODU5ODIzMywiMTg4NDgyMzUiLCIxODg3MjM2NyIsIjE4ODI0MDg5IiwiNTg0MzQiLCI1NjY5NyIsIjE4NDMyOTg4IiwiMTg0NDgzODAiLCI1Mzc2NCIsIjYwNDA0IiwiMTg2Njc0NzciLCIxODkyODgzOSIsIjE4OTUzOTg4IiwiNTEwMzMiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIE9sZCBBaXJwb3J0IFJvYWQifX0=,"2985, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Tata Cha,Yes,No,3.9 /5,682,18001208242,Indiranagar,Cafe,"Poha, Masala Tea, Hot Chocolate, Gulkand Chai, Dabeli, Iced Peach Tea, Bun Maskas","Cafe, Tea, North Indian",500,"['Cream Roll - 2 pcs', 'Dal Pakwan', 'Poha Misal & Farsan', 'Parsi Egg Bhurji with Pav', 'Elaichi - Capacity 500 ml', 'Ginger - Capacity 500 ml', 'Elaichi Chai - 250 ml', 'Masala Chai - Capacity 250 ml', 'Hot Chocolate - Capacity 500 ml', 'Patti Samosa [Chicken] - 2 pcs', 'Chakri Samosa - 2 pcs', 'Bun Maskafied - 1 pc', 'Kheema Matar Kulcha [Chicken]', 'Dal Pakwan', 'Dilli Wali Kanji [Green Tea] - 350 ml', 'Chatpata Churan - Capacity 1 L', 'Hot Choc-o-lot - Capacity 1 L', 'Cucumber - Capacity 1 L', 'Masala - Capacity 500 ml', 'Doodh Wali Kadak - Capacity 500 ml', 'Extra Kadak - Capacity 1 L', 'Elaichi - Capacity 1 L', 'Elaichi - Capacity 500 ml', 'Ginger - Capacity 1 L', 'Ginger - Capacity 500 ml', 'Extra Kadak - Capacity 500 ml', 'Elaichi Chai - 250 ml', 'Doodh wali Kadak - Capacity 250 ml', 'Extra Kadak - Capacity 250 ml', 'Masala Chai - Capacity 250 ml', 'Doodh Wali Kadak - Capacity 1 L', 'Masala - Capacity 1 L', 'Nimbu Da - Capacity 1 L', 'Nimbu Da - Capacity 500 ml', 'Chatpata Churan - Capacity 500 ml', 'Churan Tea - Capacity 250 ml', 'Nimbu Da - Capacity 250 ml', 'Chatpata Churan - Capacity 1 L', 'Classic - Capacity 1 L', 'Green Tea Peach - Capacity 500 ml', 'Green Tea Cucumber - Capacity 500 ml', 'Green Tea Classic - Capacity 500 ml', 'Green Tea Classic - Capacity 250 ml', 'Green tea Peach - Capacity 250 ml', 'Peach - Capacity 1 L', 'Cucumber - Capacity 1 L', 'Green Tea Cucumber - Capacity 250 ml', 'Hot Chocolate - Capacity 500 ml', 'Filter Kaapi - Capacity 1 L', 'Filter Kaapi - Capacity 500 ml', 'Filter Coffee - Capacity 250 ml', 'Hot Chocolate - Capacity 250 ml', 'Hot Choc-o-lot - Capacity 1 L', 'Pocket Paratha- Veg Cafreal', 'Pocket Paratha- Chicken Cafreal', 'Bun Maskafied - 1 pc', 'Cream Roll - 2 pcs', 'Chakri Samosa - 2 pcs', 'Elaichi Cake - 2 pcs', 'Fruity Cake - 2 pcs', 'Patti Samosa [Chicken] - 2 pcs', 'Poha Misal & Farsan', 'Parsi Egg Bhurji with Pav', 'Whole Multigrain Upma', 'Soya Paneer Bhurji with Pav', 'Kulfi Sticks - 3 pcs', 'Maska Chaska - 2 pcs', 'Cinnamon Rusk - 3 pcs', 'Masala Rusk - 3 pcs', 'Matar Kulcha', 'Veg Saag with Makke Di Roti', 'Chicken Saag with Makke Di Roti', 'Dal Pakwan', 'Kheema Matar Kulcha [Chicken]', 'Paneer Makhni Khichdi', 'Butter Chicken Khichdi', 'Peach [Black Tea] - 350 ml', 'Cucumber [Green Tea] - 350 ml', 'Dilli Wali Kanji [Green Tea] - 350 ml']",Dine-out,Old Airport Road
38284,https://www.zomato.com/bangalore/rr-taste-of-bangalore-majestic-bangalore?context=eyJzZSI6eyJlIjpbIjU4MTM2IiwiMTg1NDAxOTIiLCI1OTgyNyIsIjE4ODIxNjk3IiwxODkzMzE5OSwiMTgxMDgwMzEiLCI1ODIyNSIsIjU4ODIzIiwiMTg2Mjg4NzMiLCI1MzQ3NiIsIjE4NzA3NDEzIiwiMTg1ODI2NjAiLCIxODcwNzQ2OSIsIjE4Njg0NjIzIiwiMTg3ODE1NzkiLCIxODQ4NzE5MSIsIjE4ODgwMzgxIiwiMTg4OTI4NDMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIExhdmVsbGUgUm9hZCJ9fQ==,"7, 21st Cross, Cubbonpete, Nagarathpete, Majestic, Bangalore",RR Taste Of Bangalore,No,No,NEW,0,+91 9513331213,Majestic,Quick Bites,,South Indian,200,[],Delivery,Lavelle Road
6976,https://www.zomato.com/bangalore/sri-udupi-park-brookefield-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzUzMDg5IiwiMTg2MjQzOTUiLCIxODg5MDA0OSIsIjE4NTUyMTM4IiwxODc1MDM2MCwiMTg3MTY2MTciLCIxODA4OTY3NCIsIjE4NjcyNTQ4IiwiMTg3MTExOTQiLCIxODg2Njk2OCIsIjE4OTIyMjUzIiwiMTg0NTA5MTMiLCIxODc4MTQ0NyIsIjE4ODE2NDcyIiwiMTg2NTY1NjgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJyb29rZWZpZWxkIn19,"611, AECS Layout C Block, Kundanahalli, Brookefield, Bangalore",Sri Udupi Park,No,No,3.4/5,13,+91 9591011822,Brookefield,Quick Bites,,"South Indian, North Indian, Chinese",300,[],Delivery,Brookefield
27870,https://www.zomato.com/bangalore/mayuri-andhra-mess-koramangala-5th-block-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODE0NDM4IiwiNTQ4MjIiLCI1NzI5NSIsIjYxMzgyIiwxODgwMzc4OCwiNTY4MjgiLCI1NTE0OSIsIjE4OTQxNDIyIiwiNTA5OTAiLCI1MzQ0NCIsIjE4NTg4NTYzIiwiNTMzMTEiLCIxODYwODI0OCIsIjE4Mzc1NDgxIiwiMTg3NTEwNDUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDR0aCBCbG9jayJ9fQ==,"523, 3rd Cross Road, 5th Block, Koramangala, Bengaluru",Mayuri Andhra Mess,No,No,,0,+91 9986915925,Koramangala 5th Block,Mess,,"Andhra, Biryani",300,[],Delivery,Koramangala 4th Block
20692,https://www.zomato.com/bangalore/sugar-stars-co-basavanagudi-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODQwODY0IiwiNTk3NDYiLCIxODcwNjY5NSIsIjE4OTM0MjI2IiwxODg5MDg3MiwiMTgyMTY2NTYiLCIxODkyMjEyNSIsIjE4NzQyNzc3IiwiNTAzMzciLCIxODgyMjMwMCIsIjE4NzIyMzAzIiwiNTU1MTYiLCIxODQ1OTE4MSIsIjE4Nzc5NzI2IiwiNTY5NDkiLCIxODU5ODE0OCIsIjYwMjU5IiwiNjEwMjEiLCIxODI1NDU2NCIsIjE4NDMwNzQwIiwiMTg1ODg1NjUiLCIxODY2NTU4OCIsIjE4Njk1MDAwIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBKYXlhbmFnYXIifX0=,"58, Surveyor Street, Basavanagudi, Bangalore",Sugar Stars Co,No,No,,0,+91 8007845315,Basavanagudi,Bakery,,"Bakery, Desserts",300,[],Delivery,Jayanagar
9510,https://www.zomato.com/bangalore/yaduvanshi-hotel-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTM1MDIwIiwiMTg1NzU5MDEiLCIxODY3Mjc4NiIsIjE4NzAxNDk5IiwxODc2NzM2MSwiMTg4MDE0MzYiLCIxODU3MTM0NSIsIjE4NjE3MTMzIiwiNTkyMjAiLCIxODQ4MDA0MyIsIjE4MDQ4MjYyIiwiNTU3MzYiLCIxODI3ODIzMCIsIjU5OTk4IiwiMTgzNTk4ODkiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"VP Road, Near Someshwara Temple, Dollar Scheme Colony, 1st Stage BTM, Bangalore",Yaduvanshi Hotel,No,No,,0,+91 9538109396,BTM,Quick Bites,,"Bihari, Chinese",300,[],Delivery,BTM
31623,https://www.zomato.com/bangalore/blu-dale-fast-food-ejipura?context=eyJzZSI6eyJlIjpbIjE4NjQyMDMyIiwiMTg0OTQwOTUiLCIxODkyMjg0OSIsIjE4NTUxOTUyIiw1NjkxNywiNTg5NjYiLCIxODQ3MjM5NiIsIjE4NjAyODk5IiwiMTg1NjIyMDMiLCIxODk0MjE1OCIsIjE4NzI1NjA3IiwiNTc3OTkiLCIxODQyNDA4MCIsIjE4OTUxOTczIiwiMTgyOTgyNzUiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDV0aCBCbG9jayJ9fQ==,"23, Buddanna Building, Ejipura Main Road, Ejipura, Bangalore",Blu Dale Fast Food,No,No,3.3 /5,7,"080 25711433
+91 9986414014",Ejipura,Quick Bites,,"Chinese, North Indian, Andhra, Seafood",250,[],Dine-out,Koramangala 5th Block
44966,https://www.zomato.com/bangalore/coastal-delight-indiranagar?context=eyJzZSI6eyJlIjpbIjE4NTk4MjMzIiwiMTg0MzI5ODUiLCIxODc2NTE2MyIsIjE4NjQ3MTA2Iiw2MDY2MSwiMTg2NDE4MjYiLCIxODU1Nzg5NCIsIjE4MTU4MzUwIiwiNTc2NzgiLCIxODUyMDg2MSIsIjUxMDI3IiwiMTg3NjA5MjYiLCIxODU5ODU2MSIsIjU2NDY0IiwiMTg1MjIwNjYiLCIxODYxMzg4MSIsIjE4MzQ5MDU0IiwiMTg4NTI3MjUiLCI1MTgwNSIsIjE4ODExMDU4Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBPbGQgQWlycG9ydCBSb2FkIn19,"241, 13th Cross, 2nd Stage, CMH Road, Indiranagar, Bangalore",Coastal Delight,Yes,No,4.1 /5,198,"080 25254952
+91 9880985235",Indiranagar,Casual Dining,"Sea Food, Neer Dosa, Murgh Ghee Roast, Chicken Sukha, Chicken Curry, Prawn Ghee Roast, Fish Fry","Seafood, South Indian, North Indian, Mangalorean, Chinese",650,"['Chicken Dum Biryani', 'Tandoori Chicken', 'Chicken Lollypop [6 Pieces]', 'Dal Khichdi', 'Chicken Sukka', 'Chicken Pulimunchi', 'Chicken Kundapur', 'Kori Roti', 'Chicken Ghee Roast', 'Anjal Masala', 'Anjal Tawa', 'Bangda Masala', 'Bangda Tawa', 'Fish Curry', 'Prawn Masala Fry', 'Prawn Sukka', 'Marvai Sukka', 'Crab Ghee Roast', 'Cream of Tomato Soup', 'Veg Soup', 'Veg Sweet Corn Soup', 'Veg Hot and Sour Soup', 'Veg Manchow Soup', 'Veg Clear Soup', 'Palak Soup', 'Veg Noodles Soup', 'Veg Lung Fung Soup', 'Chicken Lung Fung Soup', 'Chicken Manchow Soup', 'Chicken Hot and Sour Soup', 'Chicken Sweet Corn Soup', 'Chicken Clear Soup', 'Chicken Noodles Soup', 'Crispy Baby Corn', 'Crispy Chilly Veg', 'Gobi Manchurian', 'Crispy Veg', 'Mushroom Chilly', 'Paneer Chilly', 'Baby Corn Chilly', 'Babycorn Golden Fried', 'Mushroom Salt and Pepper', 'Veg Hara Bhara Kabab', 'Paneer Reshmi Tikka', 'Paneer Tikka', 'Tandoori Mushroom', 'Tandoori Babycorn', 'Tandoori Gobi', 'Paneer Malai Tikka', 'Veg Hariyali Kabab', 'Chicken Reshmi Kabab', 'Chicken Tangdi Kabab', 'Chicken Rojali Kabab', 'Tandoori Chicken Lollipop', 'Chicken Tikka', 'Chicken Malai Kabab', 'Kalmi Kabab', 'Tandoori Chicken', 'Chicken Hariyali Kabab', 'Chicken Kasturi Kabab', 'Banjara Kabab', 'Chicken Kalimirchi Kabab', 'Adhraki Tikka', 'Lasuni Tikka', 'Chicken Chilly', 'Chicken Lollypop [6 Pieces]', 'Chicken Salt and Pepper', 'Shanghai Chicken', 'Boneless Chicken French', 'Boneless Chicken Lemon Dry', 'Prawn Pepper Fry', 'Boneless Chicken Pepper Fry', 'Chicken Kabab', 'Mutton Pepper Fry', 'Prawn Koliwada', 'Drum of Heaven [6 Pieces]', 'Schezwan Chicken', 'Crunchy Chicken', 'Prawn Masala Fry', 'Prawn Tawa Fry', 'Prawn Sukka', 'Prawn Tandoori', 'Marvai Sukka', 'Crab Masala Fry', 'Crab Ghee Roast', 'Crab Tandoori', 'Squid Sukka', 'Squid Ghee Roast', 'Squid Masala Fry', 'Crab Chilly', 'Prawn Chilly', 'Squid Chilly', 'Golden Fried Prawn', 'Prawn Butter Garlic', 'Tomato Curry', 'Veg Gassi', 'Paneer Ghee Roast', 'Aloo Methi', 'Aloo Gobi Tomato', 'Aloo Jeera', 'Veg Handi', 'Dingri Kaju Mutter', 'Paneer Tikka Masala', 'Veg Kadai', 'Paneer Butter Masala', 'Palak Paneer', 'Veg Jalfrezi', 'Green Peas Masala', 'Plain Palak', 'Dal Khichdi', 'Dal Kolhapuri', 'Dal Palak', 'Dal Tadka', 'Yellow Dal', 'Chicken Sukka', 'Chicken Pulimunchi', 'Chicken Kundapur', 'Chicken Curry', 'Mutton Curry', 'Kori Roti', 'Chicken Ghee Roast', 'Mutton Sukka', 'Mutton Ghee Roast', 'Chicken Tikka Masala', 'Chicken Kholapuri', 'Butter Chicken', 'Chicken Hydrabadi', 'Kadai Chicken', 'Chicken Do Pyaza', 'Chicken Saguwala', 'Chicken Mughalai', 'Chicken Masala', 'Addraki Chicken', 'Veg Hot Garlic Sauce', 'Baby Corn in Schezwan Sauce', 'Veg Manchurian', 'Veg Shanghai', 'Baby Corn Shanghai', 'Mushroom Shangai', 'Boneless Sweet and Sour Chicken', 'Boneless Chicken in Hot Garlic Sauce', 'Boneless Chicken Manchurian', 'Lemon Chicken', 'Fish in Schezwan Sauce', 'Prawn in Hot Garlic Sauce', 'Prawn in Schezwan Sauce', 'Mutton Rogan Josh', 'Mutton Kadai', 'Mutton Kalimirchi', 'Mutton Saguwala', 'Mutton Kolapuri', 'Mutton Hydrabadi', 'Mutton Mughlai', 'Mutton Handi', 'Neer Dosa [Set of 5]', 'Boiled Rice', 'White Rice', 'Tandoori Roti', 'Naan', 'Stuffed Paratha', 'Garlic Naan', 'Kulcha', 'Methi Kulcha', 'Tandoori Paratha', 'Aloo Paratha', 'Veg Biriyani', 'Veg Pulav', 'Jeera Rice', 'Peas Pulav', 'Steamed Rice', 'Curd Rice', 'Egg Biryani', 'Chicken Dum Biryani', 'Chicken Hyderabadi Biryani', 'Mutton Biryani', 'Mutton Hyderabadi Biryani', 'Fish Biryani', 'Prawn Biryani', 'Veg Fried Rice', 'Veg Hakka Noodles', 'Veg American Chopsuey', 'Veg Chinese Choupsey', 'Veg Singapore Noodles', 'Veg Singapore Rice', 'Veg Chowmein', 'Thai Veg Fried Rice', 'Chicken Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Hakka Noodle', 'Chicken Schezwan Noodle', 'Chicken Hong Kong Noodles', 'Chicken Hong Hong Rice', 'Chicken Singapore Noodles', 'Chicken Singapore Rice', 'Chicken Chowmein', 'Thai Chicken Fried Rice', 'Prawn Fried Rice', 'Mixed Fried Rice', 'Chicken American Chopsuey', 'Chicken Chinese Chopsuey', 'Green Salad', 'French Fries', 'Roasted Papad', 'Masala Papad', 'Anjal Rava', 'Anjal Masala', 'Anjal Tawa', 'Anjal Naked', 'Kane Rava', 'Kane Masala', 'Kane Tawa', 'Kane Naked', 'Silver Fish Rava', 'Silver Fish Masala', 'Silver Fish Tawa', 'Silver Fish Naked', 'Bangda Rava', 'Bangda Masala', 'Bangda Tawa', 'Bangda Naked', 'Fish Curry', 'Fish Pulimunchi', 'Prawn Curry', 'Crab Curry']",Delivery,Old Airport Road
11626,https://www.zomato.com/bangalore/the-souk-ulsoor?context=eyJzZSI6eyJlIjpbIjE4NTA4NDIxIiwiNTMwNTkiLCIxODcwMjU5NCIsIjUwMjA2IiwxODYxODkyNiwiMTg3OTQ5NTMiLCIxODM5MTYwNyIsIjE4NTI5ODE2IiwiMTg1NjAzNzgiLCIxODc0MDE2NyIsIjE4ODExMDE5IiwiMTg2NjEzMjYiLCIxODk0NjIwOSIsIjE4MTYzODQ1IiwiNTE3ODkiLCI2MTM5NiIsIjE4NTgwMzAyIl0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBDaHVyY2ggU3RyZWV0In19,"L1-08 Skywalk, 5/1, Near Body Craft, Assaye Road, Ulsoor, Bangalore",The Souk,Yes,No,3.7/5,66,+91 9846709999,Ulsoor,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental",800,[],Cafes,Church Street
37857,https://www.zomato.com/bangalore/cafe-azzure-mg-road?context=eyJzZSI6eyJlIjpbIjE4NDMwMzY4IiwiNjA2NzMiLCI1NTc4OCIsIjE4NDg3MjAwIiwxODM3OTY2MCwiMTgyMDgzNjYiLCIxODg3OTA4MSIsIjE4NzUyMDI1IiwiNTgwOTEiLCI2MDUwMyIsIjE4NzMxNzM0IiwiMTg1MDk3ODMiLCIxODMwODc1NiIsIjUwOTM2IiwiNTY2ODAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIExhdmVsbGUgUm9hZCJ9fQ==,"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",Cafe Azzure,Yes,Yes,4.2 /5,2720,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200",[],Delivery,Lavelle Road
